,ind,preds,results,time
133,14247,[[          1  6.0055e-08]],0,0.24750757217407227
134,14343,[[          1  6.2601e-14]],0,0.2534947395324707
135,14398,[[          1  8.4873e-11]],0,0.25842976570129395
136,14503,[[          1  4.6518e-08]],0,0.2661900520324707
137,14595,[[          1   1.797e-12]],0,0.2528493404388428
138,14646,[[          1  1.4643e-07]],0,0.250194787979126
139,14793,[[          1  7.2988e-14]],0,0.27401232719421387
140,14847,[[    0.99965  0.00035186]],0,0.23726463317871094
141,14943,[[          1  5.8895e-12]],0,0.24628567695617676
142,14993,[[          1  7.5583e-14]],0,0.26539134979248047
143,15093,[[          1  7.1719e-11]],0,0.25685977935791016
144,15193,[[          1  1.2627e-08]],0,0.23005199432373047
145,15244,[[          1  5.5439e-09]],0,0.2337498664855957
146,15392,[[    0.99991  9.2562e-05]],0,0.2548367977142334
147,15443,[[          1  7.5382e-12]],0,0.2537198066711426
148,15593,[[          1  2.8563e-11]],0,0.26393985748291016
149,15644,[[    0.99999  4.9536e-06]],0,0.23543286323547363
150,15743,[[    0.99968  0.00031547]],0,0.2426457405090332
151,15893,[[          1  2.5157e-10]],0,0.24408531188964844
152,15992,[[          1  1.0495e-12]],0,0.26079535484313965
153,16083,[[          1  2.9244e-15]],0,0.22870421409606934
154,16242,[[    0.54913     0.45087]],0,0.24559712409973145
155,16295,[[     0.9999  0.00010168]],0,0.2572824954986572
156,16394,[[    0.99989  0.00010791]],0,0.24967551231384277
157,16494,[[    0.99949  0.00051456]],0,0.3188149929046631
158,16595,[[          1  2.8148e-06]],0,0.2784731388092041
159,16695,[[          1  1.9222e-10]],0,0.26980066299438477
160,16795,[[          1  9.0037e-09]],0,0.2669644355773926
161,16846,[[          1  4.4266e-07]],0,0.29521918296813965
162,16942,[[    0.99998  1.8153e-05]],0,0.27181434631347656
163,17044,[[          1  1.8761e-06]],0,0.29088473320007324
164,17144,[[    0.97773    0.022269]],0,0.2790403366088867
165,17195,[[          1  8.4692e-07]],0,0.2761876583099365
166,17290,[[          1  4.2573e-08]],0,0.26073694229125977
167,17394,[[          1  1.8209e-09]],0,0.2577857971191406
168,17495,[[          1  1.0158e-11]],0,0.24142694473266602
169,17546,[[          1  2.6413e-08]],0,0.2522585391998291
170,17693,[[          1  4.6199e-11]],0,0.2777087688446045
171,17744,[[    0.74667     0.25333]],0,0.2603909969329834
172,17840,[[          1  4.7046e-09]],0,0.2447803020477295
173,17943,[[    0.99999  9.4005e-06]],0,0.2589702606201172
174,18043,[[    0.99998  1.7165e-05]],0,0.33080220222473145
175,18094,[[    0.99999  9.3884e-06]],0,0.2300117015838623
176,18194,[[    0.60168     0.39832]],0,0.258803129196167
177,18263,[[    0.99999  1.4903e-05]],0,0.2623779773712158
178,18413,[[          1  1.6619e-08]],0,0.2543363571166992
179,18489,[[    0.99999  6.9263e-06]],0,0.2576782703399658
180,18539,[[    0.99747   0.0025325]],0,0.2587742805480957
181,18594,[[    0.99963    0.000373]],0,0.2595043182373047
182,18843,[[          1  1.1075e-06]],0,0.2428722381591797
183,18894,[[          1  3.5433e-08]],0,0.2547321319580078
184,18989,[[          1  2.1126e-11]],0,0.24721717834472656
185,19158,[[    0.99999  1.4666e-05]],0,0.2541205883026123
186,19360,[[   0.068734     0.93127]],1,0.24639368057250977
187,19459,[[          1  2.1601e-11]],0,0.25663232803344727
188,19561,[[    0.99982  0.00017993]],0,0.27959752082824707
189,19712,[[    0.99999  1.4832e-05]],0,0.26811790466308594
190,19862,[[          1  5.6436e-08]],0,0.2600090503692627
191,19960,[[          1  3.7837e-08]],0,0.27910518646240234
192,20058,[[    0.96708    0.032917]],0,0.2610607147216797
193,20111,[[          1  4.4912e-12]],0,0.2641298770904541
194,20260,[[          1  1.5246e-16]],0,0.26229310035705566
195,20312,[[          1  1.2959e-11]],0,0.2563643455505371
196,20407,[[          1  1.6331e-09]],0,0.2814292907714844
197,20459,[[          1  8.0925e-11]],0,0.2844417095184326
198,20511,[[          1  5.7748e-09]],0,0.26727986335754395
199,20609,[[          1  7.9306e-09]],0,0.2755742073059082
200,20699,[[          1   2.533e-11]],0,0.27155542373657227
201,20762,[[          1   1.932e-11]],0,0.27927565574645996
202,20859,[[          1  5.1367e-11]],0,0.25609683990478516
203,20959,[[    0.99913  0.00086821]],0,0.284468412399292
204,21010,[[    0.99324   0.0067584]],0,0.2825610637664795
205,21159,[[    0.99988  0.00011877]],0,0.2763962745666504
206,21230,[[    0.99993  6.9362e-05]],0,0.26691722869873047
207,21399,[[          1  1.7639e-09]],0,0.2879147529602051
208,21509,[[          1  1.6073e-06]],0,0.31023454666137695
209,21608,[[    0.99978  0.00022388]],0,0.2761056423187256
210,21710,[[          1  3.7009e-09]],0,0.2754063606262207
211,21906,[[          1  3.0128e-06]],0,0.28574180603027344
212,21957,[[    0.99999  5.1876e-06]],0,0.2684612274169922
213,22060,[[    0.99996  3.7846e-05]],0,0.24344730377197266
214,22160,[[          1  1.8614e-08]],0,0.26351237297058105
215,22211,[[    0.99976  0.00024141]],0,0.272017240524292
216,22283,[[          1  5.1029e-07]],0,0.22582006454467773
